,Text,language
0,Add a new weekly reminder for Sunday Brunch at 9 : 30 am,ENGLISH
1,message danny and see if he wants to go to comic con,ENGLISH
2,set alarm for 2 hours,ENGLISH
3,kill the reminder for baking a cake for neil,ENGLISH
4,retrieve my chat requests please,ENGLISH
5,"If I leave here by 9 pm , will I get to Taipei by 11 pm ?",ENGLISH
6,Things to do this weekend for free in Pensacola,ENGLISH
7,Is it going to be cold today,ENGLISH
8,Text Chris I ' m stuck in traffic,ENGLISH
9,please set timer for 50 minutes,ENGLISH
10,delete 7 pm alarm,ENGLISH
11,"Remove all chore reminders that are before 9 am . , please .",ENGLISH
12,Temperature next week in San Francisco c,ENGLISH
13,Cancel alarm for 6 : 10,ENGLISH
14,repeat the song Just the way you are,ENGLISH
15,How long will it take me to get there in heavy traffic,ENGLISH
16,Create a playlist of songs from the 90 ' s,ENGLISH
17,what ' s the weather in baltimore,ENGLISH
18,start playing Magic 93 Point 7,ENGLISH
19,Outlander schedule on Showtime,ENGLISH
20,how humid is today,ENGLISH
21,Create an alarm for 6 am and 5 pm every monday,ENGLISH
22,play 80s only,ENGLISH
23,"Pause this song , please .",ENGLISH
24,Tell me about the weather tonight at 6 ?,ENGLISH
25,Yesterday the weather man said that it might rain today . How is the weather today ?,ENGLISH
26,Schedule 15 minute timer at 1 : 45 pm,ENGLISH
27,what ' s the humidity,ENGLISH
28,set a reminder for 3 pm to watch the baseball game,ENGLISH
29,play 80s music,ENGLISH
30,Show me the set alarms please .,ENGLISH
31,Resume my work timer in 10 minutes .,ENGLISH
32,should i wear shorts today,ENGLISH
33,set alarm for 10 pm,ENGLISH
34,should i bring an umbrella ?,ENGLISH
35,set a reminder for the doctor,ENGLISH
36,Will it rain this evening >,ENGLISH
37,Are the skies sunny for tomorrow,ENGLISH
38,Play the next song in the list,ENGLISH
39,Open What ' sApp and send text .,ENGLISH
40,Is it quicker to take highway or back roads to the apple harvest fest in southington ?,ENGLISH
41,Can I listen to a song by Bush,ENGLISH
42,Remind everyone in the family group that we have game night Thursday at 7 pm .,ENGLISH
43,set my alarm for 11 pm tonight,ENGLISH
44,when is the next blizz con event,ENGLISH
45,Give me an alarm for 8 : 45 and 9 : 17 on Tuesday,ENGLISH
46,Remind me at 1 . 00PM,ENGLISH
47,brunch specials near me this weekend,ENGLISH
